LAT;LON;YEAR;MO;DY;T2M
36.73821;-119.77759;2001;1;1;10.10
36.73821;-119.77759;2001;1;2;12.37
36.73821;-119.77759;2001;1;3;13.17
36.73821;-119.77759;2001;1;4;13.19
36.73821;-119.77759;2001;1;5;11.83
36.73821;-119.77759;2001;1;6;11.69
36.73821;-119.77759;2001;1;7;11.49
36.73821;-119.77759;2001;1;8;8.00
36.73821;-119.77759;2001;1;9;6.98
36.73821;-119.77759;2001;1;10;7.18
36.73821;-119.77759;2001;1;11;6.21
36.73821;-119.77759;2001;1;12;6.43
36.73821;-119.77759;2001;1;13;6.23
36.73821;-119.77759;2001;1;14;5.81
36.73821;-119.77759;2001;1;15;4.28
36.73821;-119.77759;2001;1;16;2.70
36.73821;-119.77759;2001;1;17;3.55
36.73821;-119.77759;2001;1;18;5.76
36.73821;-119.77759;2001;1;19;7.38
36.73821;-119.77759;2001;1;20;10.07
36.73821;-119.77759;2001;1;21;10.95
36.73821;-119.77759;2001;1;22;10.85
36.73821;-119.77759;2001;1;23;9.84
36.73821;-119.77759;2001;1;24;5.29
36.73821;-119.77759;2001;1;25;5.16
36.73821;-119.77759;2001;1;26;3.92
36.73821;-119.77759;2001;1;27;4.28
36.73821;-119.77759;2001;1;28;5.55
36.73821;-119.77759;2001;1;29;5.40
36.73821;-119.77759;2001;1;30;5.63
36.73821;-119.77759;2001;1;31;6.45
36.73821;-119.77759;2001;2;1;8.19
36.73821;-119.77759;2001;2;2;9.34
36.73821;-119.77759;2001;2;3;12.48
36.73821;-119.77759;2001;2;4;14.79
36.73821;-119.77759;2001;2;5;13.98
36.73821;-119.77759;2001;2;6;8.74
36.73821;-119.77759;2001;2;7;4.49
36.73821;-119.77759;2001;2;8;4.78
36.73821;-119.77759;2001;2;9;5.49
36.73821;-119.77759;2001;2;10;4.62
36.73821;-119.77759;2001;2;11;4.11
36.73821;-119.77759;2001;2;12;4.03
36.73821;-119.77759;2001;2;13;5.70
36.73821;-119.77759;2001;2;14;5.62
